                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0349,                 4.1039,                 2.1932,                 0.0012,                0.21025,                0.00097,                0.00039,                 2.5208,                    inf,                 3.8282,             0.00036084,             0.00036084,             0.00036084
                      2,                 1.9579,                 3.3356,                 2.1728,                 0.0012,                0.21025,                0.00097,                0.00039,                    nan,                    nan,                    nan,             0.00070704,             0.00070704,             0.00070704
                      3,                 1.9777,                 3.2013,                 2.1647,                0.00038,                0.13181,                0.00024,                  4e-05,                 2.9843,                    inf,                 7.6845,              0.0010288,              0.0010288,              0.0010288
                      4,                 1.9914,                  3.033,                 2.2032,                 0.0182,                0.04326,                0.00978,                 0.0058,                 3.5474,                 305.76,                  6.118,               0.001001,               0.001001,               0.001001
                      5,                 2.0686,                 2.9932,                 2.2473,                 0.0182,                0.04326,                0.00978,                 0.0058,                 4.7797,                    inf,                  131.1,             0.00096435,             0.00096435,             0.00096435
                      6,                 1.9439,                 2.8864,                 2.1544,                0.00161,                0.15282,                0.00108,                 0.0006,                 3.0095,                    inf,                 7.1899,             0.00092769,             0.00092769,             0.00092769
                      7,                 1.8423,                 2.6751,                 2.0751,                0.10736,                0.15962,                0.08355,                0.03105,                 2.4962,                 3.7334,                 2.6893,             0.00089102,             0.00089102,             0.00089102
                      8,                 1.8395,                 2.6924,                  2.032,                0.26687,                0.26104,                0.21044,                0.08138,                  2.077,                  4.122,                 2.4991,             0.00085436,             0.00085436,             0.00085436
                      9,                 1.7758,                 2.5853,                 2.0053,                 0.2464,                0.29147,                0.21304,                0.10292,                 2.1066,                 2.9613,                 2.5181,              0.0008177,              0.0008177,              0.0008177
                     10,                 1.7253,                 2.5115,                 1.9761,                 0.2233,                0.38624,                0.26778,                0.14124,                 1.8589,                   3.13,                 2.3386,             0.00078103,             0.00078103,             0.00078103
                     11,                 1.6615,                 2.3559,                 1.9063,                0.25476,                0.26054,                 0.2176,                0.07986,                 1.9154,                  2.793,                 2.3511,             0.00074437,             0.00074437,             0.00074437
                     12,                 1.6242,                 2.3466,                 1.8818,                0.25306,                0.31393,                0.30165,                0.13793,                 1.9518,                 2.4007,                 2.3763,             0.00070771,             0.00070771,             0.00070771
                     13,                 1.6045,                 2.3406,                 1.9058,                0.31474,                0.35051,                0.28862,                0.13946,                  1.934,                 2.3616,                 2.3259,             0.00067104,             0.00067104,             0.00067104
                     14,                 1.5852,                 2.2474,                 1.8426,                0.42053,                0.41238,                0.37839,                0.19024,                  1.823,                  2.234,                 2.2109,             0.00063438,             0.00063438,             0.00063438
                     15,                 1.5469,                 2.1687,                 1.8533,                 0.2981,                0.30463,                0.26214,                0.11114,                 2.0042,                 2.6882,                 2.4419,             0.00059772,             0.00059772,             0.00059772
                     16,                 1.5472,                 2.1491,                 1.8335,                0.54451,                0.39247,                0.39981,                0.19529,                 1.8406,                 2.1766,                 2.2668,             0.00056105,             0.00056105,             0.00056105
                     17,                 1.4637,                 2.0723,                 1.7824,                0.42368,                0.47911,                0.39916,                0.19304,                 1.8822,                 2.1639,                 2.3309,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.4475,                 1.9613,                 1.7623,                0.38988,                0.42217,                 0.4009,                0.21276,                 1.8388,                 2.2294,                 2.1824,             0.00048773,             0.00048773,             0.00048773
                     19,                 1.4167,                 1.9264,                 1.7283,                0.46632,                0.40395,                0.45227,                0.23731,                 1.8476,                  2.038,                  2.176,             0.00045107,             0.00045107,             0.00045107
                     20,                 1.3929,                 1.8761,                  1.688,                0.51924,                0.44255,                0.49546,                0.27444,                 1.7083,                 1.9359,                 2.1351,              0.0004144,              0.0004144,              0.0004144
                     21,                 1.3465,                 1.7238,                 1.7527,                0.59255,                0.43721,                 0.5337,                0.29435,                 1.6849,                 1.8998,                 2.1248,             0.00037774,             0.00037774,             0.00037774
                     22,                 1.2922,                 1.5924,                 1.7136,                0.49492,                0.47452,                0.51767,                0.26863,                 1.7111,                 1.8155,                 2.1156,             0.00034108,             0.00034108,             0.00034108
                     23,                 1.2723,                 1.4878,                 1.6651,                0.58352,                0.38359,                0.52061,                 0.2933,                 1.6528,                 1.7161,                 2.0852,             0.00030441,             0.00030441,             0.00030441
                     24,                 1.2719,                 1.4339,                 1.6777,                0.62196,                0.49726,                0.54735,                0.30832,                 1.7068,                 1.7201,                 2.0828,             0.00026775,             0.00026775,             0.00026775
                     25,                 1.1838,                 1.3395,                 1.6198,                0.65355,                0.45827,                0.56492,                0.30048,                 1.6318,                 1.6159,                 2.0598,             0.00023109,             0.00023109,             0.00023109
                     26,                 1.1585,                 1.2755,                 1.5859,                0.69244,                0.50423,                0.58531,                0.32424,                 1.6428,                 1.6619,                 2.0688,             0.00019442,             0.00019442,             0.00019442
                     27,                 1.1478,                  1.187,                 1.5613,                 0.7962,                0.41585,                0.56812,                0.32382,                  1.706,                 1.6722,                 2.1438,             0.00015776,             0.00015776,             0.00015776
                     28,                 1.0852,                 1.1579,                 1.5059,                0.83803,                0.47063,                0.61004,                0.35107,                 1.6277,                  1.621,                 2.0688,              0.0001211,              0.0001211,              0.0001211
                     29,                 1.0866,                  1.093,                 1.5146,                0.80257,                0.47662,                0.62875,                0.36429,                 1.6563,                 1.5704,                 2.0422,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     30,                 1.0393,                 1.0708,                 1.4814,                 0.7287,                0.50706,                0.62182,                0.36239,                 1.6559,                 1.5723,                 2.0596,             4.7773e-05,             4.7773e-05,             4.7773e-05
